"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",9194.02397639368,1035.65287364708,8.87751505387769,0.00000000000000000122967794080912
"2","a85a",180.201949874834,41.2132337644319,4.37242927611161,0.000012759271081856
"3","a7584",196.73522550858,32.4571212994499,6.06138861464325,0.00000000154069870079509
"4","a6574",-73.2550702087918,27.3967930028015,-2.6738556662928,0.00754432337693721
"5","a5564",30.1100805338943,26.8316619829033,1.12218469929593,0.261885200621324
"6","a2034",-25.7541578881529,14.573296323959,-1.76721568790255,0.0773067575922901
"7","pdensity",0.0297846573125975,0.0255880860853786,1.16400488935422,0.244526422738935
"8","pop",-0.000000105991365579994,0.000078022495450628,-0.00135847187362861,0.998916198465084
"9","aindian",3.0165466659476,4.8130762326222,0.626739847896438,0.530883562662343
"10","black",2.67840254554003,3.52800462027048,0.759183400767396,0.447810122903098
"11","latino",12.6686721252962,2.55783571523624,4.95288733745986,0.000000776986613150006
"12","asian",5.13761855288342,11.9261254631781,0.43078689459924,0.666658233077094
"13","sparent",53.3078396167463,17.8889300642455,2.97993448603683,0.00290920546861764
"14","mincome",-0.00509114656458756,0.00416903142652265,-1.22118210292169,0.222125304514494
"15","poverty",14.5675873074868,10.4562949414863,1.39318825540092,0.163679278304096
"16","chci",-17.1943677235468,5.32341816329885,-3.2299487276971,0.00125320668308044
"17","lcp",-3.38962548945879,6.21390910298187,-0.545490034257535,0.585462270241542
"18","ur",-3.3847126270751,14.2014093052505,-0.238336390024596,0.811638557318708
"19","disable",7.74081240278387,10.4220134998881,0.742736746874006,0.45770666264853
"20","hi_pub",-17.4499309949402,6.10898052622871,-2.8564391259752,0.00431746877088436
"21","demv",-22.0486633723489,3.13365291274764,-7.03608982432464,0.00000000000250502051463128
"22","hosp",0.0103463859694436,0.0155811040203316,0.664034201680622,0.506725972655064
"23","vcrime",-0.195005680344037,0.149284299430829,-1.30627052602,0.191573515561738
"24","commute_p",36.3914887452901,14.7540628141828,2.46654017971969,0.0137051511612217
"25","wfh",-62.4692620279265,11.6848140112006,-5.34619224302977,0.0000000974513264483663
"26","computer",-43.511515821628,6.94631634826414,-6.26396979925934,0.00000000043626648534493
"27","p_nursehome",331.025277839139,53.789657867819,6.1540692200086,0.000000000869144456777812
"28","p_liquor",606.240631147845,546.505070492616,1.10930467781641,0.267399046186655
"29","drinking",-27.5812230331398,11.135177134203,-2.47694515324959,0.0133129493349257
"30","prematured",0.147442142855657,0.0177025278736413,8.32887505717163,0.000000000000000128940919914876
"31","lowbirthw",78.4262620830326,21.4868197155307,3.64997068534745,0.000267318533441388
"32",NA,NA,NA,NA,NA
"33","(Intercept)",19.7042842498502,6.07070796189386,3.24579676267331,0.00118575306733553
"34","a85a",0.600581402299811,0.241580468432502,2.48605115387303,0.0129778902359939
"35","a7584",0.332436820330742,0.190254582115773,1.74732622275793,0.0806961614584122
"36","a6574",-1.13073698257064,0.160592350626877,-7.04103886739796,0.00000000000241919602653883
"37","a5564",-0.1279029090239,0.157279710388717,-0.813219382892984,0.416165069843152
"38","a2034",0.0775778759256593,0.085424593776625,0.908144510801141,0.363884143518994
"39","pdensity",0.000226353799685747,0.000149990215718812,1.50912376918035,0.131385920491507
"40","pop",0.000000736410791486489,0.000000457346082255317,1.61018279167281,0.107476609714673
"41","aindian",0.0943089525704582,0.0282129089293084,3.34275890539196,0.000840979341720084
"42","black",-0.184632598643609,0.0206801779658584,-8.92799853794419,0.000000000000000000790525662444074
"43","latino",-0.00631331123886479,0.0149933187430063,-0.421074969930167,0.67373435733534
"44","asian",-0.237284661429419,0.0699076173553226,-3.3942604598203,0.000698224896274963
"45","sparent",0.0770068380256503,0.104859912943943,0.734378237247033,0.462782976263806
"46","mincome",0.0000397341255625353,0.000024437698111386,1.62593569089154,0.104081792657556
"47","poverty",-0.110901047176946,0.0612918812552074,-1.8093921234882,0.0705029437136667
"48","chci",0.0585190260026591,0.031204390825107,1.87534588739912,0.0608546173962347
"49","lcp",-0.00595455609441883,0.0364242000634003,-0.163478019669733,0.870154497131639
"50","ur",-0.137270489011448,0.0832446959142759,-1.64899982519976,0.0992657534285272
"51","disable",0.115535299385407,0.061090933016902,1.89120207663945,0.0587059329914357
"52","hi_pub",0.194784736080744,0.0358091380454845,5.43952596215327,0.0000000582862457064794
"53","demv",0.0486429435191793,0.0183685983704532,2.64815760779134,0.00814098411575781
"54","hosp",0.00051288192864757,0.0000913320810844929,5.61557256286643,0.0000000216202470687484
"55","vcrime",-0.00254798783744402,0.000875062878886296,-2.91177685503798,0.00362369744363373
"56","commute_p",-0.0745221488684703,0.0864841964672263,-0.861685162291019,0.388938462469206
"57","wfh",-0.343616168692745,0.0684931170047784,-5.01679852982559,0.000000560008069186245
"58","computer",-0.116170980055057,0.0407173668265323,-2.85310640420286,0.00436286816680659
"59","p_nursehome",0.580007823493964,0.315299954835051,1.83954299580346,0.0659467348751046
"60","p_liquor",-0.571183948122517,3.20346012363351,-0.178302187659091,0.858499238432949
"61","drinking",0.0199435123913424,0.0652712991059009,0.305547961577792,0.759972755337346
"62","prematured",0.000218626082776731,0.000103767275351358,2.10688853529649,0.0352206474469401
"63","lowbirthw",0.968737400993238,0.125949737447742,7.69146026521235,0.0000000000000203359891212658
"64",NA,NA,NA,NA,NA
"65","(Intercept)",506.236237731482,60.5179953925599,8.36505298048453,0.0000000000000000956770759850954
"66","a85a",-0.125213266937771,2.40828018203163,-0.051992815400798,0.958538322124558
"67","a7584",7.43962901727093,1.8966199652773,3.92257234104526,0.0000898253228409707
"68","a6574",3.43485350297111,1.60092153935301,2.14554768521589,0.0319993481189452
"69","a5564",1.17013813293382,1.56789831571442,0.746309962327271,0.455546145786711
"70","a2034",-2.12366021469084,0.851585219555233,-2.49377298469317,0.0126996329877238
"71","pdensity",-0.000400859860843431,0.00149523041476836,-0.268092366824636,0.788649008518964
"72","pop",-0.000000691201244999292,0.00000455921587275598,-0.151605290095964,0.879509757364016
"73","aindian",-0.388829375880407,0.281250342350836,-1.38250276472686,0.166933440614422
"74","black",1.58339348023257,0.206157654545567,7.6804981300493,0.0000000000000221130308045052
"75","latino",0.41224611167717,0.14946619081399,2.75812281983026,0.00585317939588959
"76","asian",1.53197497937331,0.69689876231411,2.19827478855933,0.0280153829931505
"77","sparent",2.68439893703277,1.04533305970891,2.56798434919897,0.0102833239739244
"78","mincome",-0.000535675253874269,0.000243615820591747,-2.19885249066791,0.0279742167935886
"79","poverty",2.37396240140857,0.611009755482752,3.88531014457033,0.000104692815865007
"80","chci",-0.906724066466013,0.311071985678641,-2.91483678444359,0.00358847267770129
"81","lcp",-0.585281634958994,0.363107496761689,-1.61186877213697,0.107109132825402
"82","ur",-0.194692687276376,0.829854138169342,-0.234610732563036,0.814528935529655
"83","disable",-0.985261485897295,0.609006532030687,-1.61781759977518,0.105820475677859
"84","hi_pub",-2.24826887981184,0.356976033907602,-6.29809473538432,0.000000000351404510753179
"85","demv",-1.39486965474474,0.18311385731757,-7.6174991624236,0.0000000000000357115468982022
"86","hosp",-0.00374160133859429,0.000910476092238166,-4.10949982156758,0.000040850830160159
"87","vcrime",-0.0127106933726164,0.0087233732218804,-1.45708466774468,0.145211044438404
"88","commute_p",1.97157675331019,0.86214824303623,2.28681873359375,0.022284628368039
"89","wfh",-1.51878186773614,0.682797816224406,-2.22435079850486,0.026208479813625
"90","computer",-1.41566204500803,0.405905445208819,-3.48766458227664,0.000495162018966043
"91","p_nursehome",7.87678820620304,3.14317890660469,2.50599423076164,0.0122700302439515
"92","p_liquor",48.7842649441083,31.9348231242904,1.52761970073358,0.126725881652603
"93","drinking",-0.70216391913115,0.650679987136955,-1.07912327566847,0.280630616472394
"94","prematured",0.00275956752760366,0.00103444071614555,2.66769036111236,0.00768377774526211
"95","lowbirthw",-0.958463608646507,1.2555744203809,-0.763366625735926,0.445312474517265
"96",NA,NA,NA,NA,NA
"97","(Intercept)",10825.2820502666,918.602894591004,11.7845067917911,0.000000000000000000000000000000254118143453709
"98","a85a",185.897915445857,40.1898319544539,4.62549621149275,0.00000390652545072715
"99","a7584",198.56205345104,31.4072609903943,6.32217032589276,0.000000000299101697237025
"100","a6574",-49.4312687457448,26.5998301222266,-1.85833024190784,0.0632268940599067
"101","a5564",-17.292246737119,24.7152623119192,-0.699658636792198,0.484198571966741
"102","a2034",-29.3982697981023,13.9539326156952,-2.10680892675629,0.0352227897684907
"103","pdensity",0.0211796282529695,0.025536982066813,0.829370839418563,0.406965219223309
"104","pop",0.0000336571498825014,0.0000744996686475027,0.451775833282576,0.651465435431808
"105","sparent",58.1206984829527,16.4410415535159,3.5350983265731,0.000414222244315843
"106","mincome",-0.00175926577234495,0.00384954582394954,-0.457006060663017,0.647702103516561
"107","poverty",27.3662123546643,9.82377823931087,2.78571153460646,0.00537695433714095
"108","chci",-29.9270080912079,4.45303738174274,-6.72058317181601,0.0000000000218420545114327
"109","lcp",-3.65138324459794,5.92597677200418,-0.616165635654869,0.537835239380015
"110","ur",-4.34004455019893,13.3825416243203,-0.32430644880728,0.745730236120763
"111","disable",3.67597319982009,9.76638046832209,0.376390538106042,0.706655066514532
"112","hi_pub",-20.3448140353497,5.72048729477494,-3.5564826887969,0.000382077243916358
"113","demv",-17.9309099084313,2.43008987709395,-7.37870235889144,0.00000000000020949988137669
"114","commute_p",41.1026355989125,14.5505918191115,2.82480851018899,0.00476434662001362
"115","wfh",-57.7775004404445,10.9520633537361,-5.27548997611803,0.000000142499876253253
"116","computer",-36.9116785496615,6.62220785972388,-5.57392327929746,0.0000000272766795632423
"117","p_nursehome",307.544846010107,51.9512214738314,5.91987709403563,0.00000000361366178929726
"118","p_liquor",806.563593490335,528.914279727134,1.52494198853251,0.127386382794632
"119","drinking",-26.713696384476,10.5447794815084,-2.53335751888619,0.011351642988835
"120","prematured",0.136784704943237,0.0147659173305391,9.26354264901216,0.0000000000000000000382118594998086
"121","lowbirthw",70.8025820163609,17.4791478244518,4.05068843901613,0.0000524531140479311
"122",NA,NA,NA,NA,NA
"123","(Intercept)",10100.0371396201,1399.87986121754,7.21493138049406,0.000000000000694723261444189
"124","a85a",316.11975009342,36.5774454628826,8.64247751839878,0.00000000000000000917564246168746
"125","a7584",218.005570289562,27.7031313096932,7.86934761462444,0.00000000000000508255005838976
"126","a6574",-78.7065739003566,23.9227324620892,-3.29003277635966,0.00101439980058707
"127","a5564",-39.1968491812608,23.4634171134616,-1.67055160770988,0.094924112952199
"128","a2034",-37.8843728366892,12.6847593995393,-2.98660555107296,0.00284585072389943
"129","pdensity",0.0215137751500471,0.0220593174299065,0.975269303703851,0.32951250360969
"130","pop",0.0000756785005876828,0.0000665004797982255,1.13801435444233,0.255213659709314
"131","aindian",5.36494497028662,4.46706106396246,1.20100103702807,0.229854267920955
"132","black",1.6245105622428,3.67554402861118,0.441978262155827,0.658539702415445
"133","latino",8.74698689511558,3.35637238734566,2.60608355857468,0.00920784509011586
"134","asian",19.1290217136472,12.9694812321174,1.47492574076721,0.140347022890563
"135","sparent",29.7635822424229,14.5454169459119,2.04625156866254,0.0408265681468483
"136","mincome",-0.00961787389213466,0.00390852474407434,-2.4607427410345,0.0139260338780068
"137","poverty",10.7068213187304,8.69778029168095,1.23098318877645,0.218434459764275
"138","chci",-23.2079440115432,4.82426744577291,-4.81066696082082,0.00000158545296366971
"139","lcp",-4.97831517598016,5.46889090837419,-0.910297034515201,0.362745689411479
"140","ur",-4.40632580259121,11.7470135971478,-0.375101787884289,0.707613704271255
"141","disable",14.9349159112671,8.9858979556456,1.66203934041827,0.096618899766391
"142","hi_pub",-16.759925207583,7.79095057101026,-2.15120415087034,0.0315469796353435
"143","demv",-18.3248250131353,3.18368302272776,-5.75585725159117,0.00000000957409837235477
"144","commute_p",38.0623714699509,13.1128551389396,2.90267611947621,0.00372934175493687
"145","wfh",-44.3572607021979,9.99753790637352,-4.43681845646414,0.00000948890998781659
"146","computer",-15.3091685748226,5.97401782043667,-2.56262519379354,0.0104412262395154
"147","p_nursehome",314.938115507592,44.4053365128241,7.09234835809969,0.00000000000167005564051714
"148","p_liquor",8.79971331288623,497.022153694111,0.0177048713975473,0.985875579276653
"149","drinking",-53.731644079734,19.2064610318664,-2.79758170912305,0.00518452518294203
"150","prematured",0.133296395648166,0.0144839932596252,9.20301420049235,0.0000000000000000000669604182748175
"151","lowbirthw",51.28475024865,18.6576235938687,2.74872895739537,0.00602177487907826
"152","statenameAL",-548.904968626199,993.96815469403,-0.552235970573088,0.580831585972978
"153","statenameAR",-502.021603455836,987.380742914916,-0.50843770962535,0.611187210892147
"154","statenameAZ",246.565356684845,1013.34854402012,0.243317423348416,0.807777662408533
"155","statenameCA",-1383.8305676483,982.967239098436,-1.40780944939481,0.159300569253337
"156","statenameCO",-304.078169044688,990.506431811245,-0.306992624458429,0.7588722382319
"157","statenameCT",-474.576632136707,1034.23410287422,-0.458867707821487,0.646365446496584
"158","statenameDC",-734.572346375895,1413.08614804617,-0.519835501460096,0.603220088166273
"159","statenameDE",-119.913606779898,1124.63385142259,-0.106624575303522,0.915094601521438
"160","statenameFL",-2841.53344276977,988.116008850233,-2.87570833517429,0.00406223761057305
"161","statenameGA",491.187754430094,988.359153688016,0.496972940046389,0.619247875047316
"162","statenameHI",-2402.17840945223,1126.99280181425,-2.13149401272587,0.0331369215594802
"163","statenameIA",-158.524623981774,983.367727953249,-0.161205843425147,0.871943124740283
"164","statenameID",-955.105177830958,997.882657308999,-0.957131753754094,0.338584922459498
"165","statenameIL",-911.067178983065,982.154441002437,-0.927621095978738,0.353685586077031
"166","statenameIN",-710.678394843718,984.6178520147,-0.721780936014461,0.470490558639216
"167","statenameKS",-1087.92030962495,988.684584237035,-1.10037147030515,0.271266648957865
"168","statenameKY",-378.555431902711,983.41109725689,-0.384941183761956,0.70031077137971
"169","statenameLA",-433.15869761081,989.66211668279,-0.437683417713005,0.661650176199354
"170","statenameMA",-182.533479440327,1009.95370388877,-0.180734501727646,0.856589298969621
"171","statenameMD",-965.261445432194,996.436886842962,-0.968713079752054,0.332773583305116
"172","statenameME",-1578.98086061731,1007.59705975635,-1.56707569293536,0.117212094781099
"173","statenameMI",232.644715110206,982.074235222775,0.23689117051058,0.812758870594548
"174","statenameMN",-1186.5657042238,982.748150777882,-1.20739550950524,0.227383736795778
"175","statenameMO",-627.846983966463,985.870321271702,-0.636845404937827,0.524278574124169
"176","statenameMS",-412.382141473713,994.280319807141,-0.414754404023306,0.678354064760482
"177","statenameMT",264.710842309646,993.729824982388,0.266381098418112,0.789965698782925
"178","statenameNC",-1396.57849577038,986.226260168657,-1.41608325814762,0.156864421417532
"179","statenameND",-709.74748524088,998.402257464279,-0.710883293717186,0.477216867494794
"180","statenameNE",-3015.89141040742,992.027776237972,-3.04012799101701,0.00238706813614682
"181","statenameNH",-1042.92788858408,1022.70428376536,-1.01977463587448,0.307925091123995
"182","statenameNJ",130.146307565899,998.568792394562,0.130332840919061,0.896312634354102
"183","statenameNM",-123.248894765276,1002.61773622542,-0.122927104031966,0.902173808458455
"184","statenameNV",-671.180171164825,1014.61636807683,-0.66151127882652,0.508339924493684
"185","statenameNY",-1140.46265115173,984.195696590064,-1.15877630343547,0.24664802894648
"186","statenameOH",-418.623774043665,982.776222362578,-0.42596042162813,0.670170033556859
"187","statenameOK",-989.17386911375,993.329114383765,-0.995816849410889,0.319426786433403
"188","statenameOR",-1352.10121906031,991.193348389782,-1.3641145002202,0.172643201644356
"189","statenamePA",132.198461647615,983.938326973379,0.134356451033126,0.89313055181259
"190","statenameRI",-54.098213027055,1067.59685803578,-0.0506728851999317,0.95958986479484
"191","statenameSC",-745.106794302377,993.360898211865,-0.750086696228565,0.453266681558291
"192","statenameSD",93.9045272331811,992.245232762318,0.0946384262001035,0.924608924425629
"193","statenameTN",-478.36616855587,988.142928689627,-0.484106250894524,0.628349028476972
"194","statenameTX",-256.419075943438,988.03864583454,-0.259523326364279,0.795250919714238
"195","statenameUT",-2593.60278065809,1020.4955650474,-2.54151303493183,0.0110918712558943
"196","statenameVA",-417.788676451271,982.982049470697,-0.425021674278016,0.670854139499389
"197","statenameVT",-1620.93621715042,1010.90849592161,-1.6034450434336,0.108951311916142
"198","statenameWA",-954.90772771762,988.747915197923,-0.965774706616165,0.334241879719891
"199","statenameWI",-387.813842778272,988.709799992413,-0.392242337216894,0.694909572231243
"200","statenameWV",-1046.27860892328,993.383627927738,-1.0532472848439,0.292320238171495
"201","statenameWY",-268.565191310142,1004.9706868408,-0.267236840662884,0.789306858665051
"202",NA,NA,NA,NA,NA
"203","(Intercept)",8932.35389364853,990.759685479373,9.01566144097463,0.00000000000000000035420376960501
"204","casep",11.330030172178,3.04652967955699,3.71899550107963,0.00020394415392398
"205","a85a",177.194529861526,40.1963552877833,4.40822379523995,0.0000108148360878144
"206","a7584",182.667379615799,31.4683620388752,5.80479465026291,0.0000000071690944894116
"207","a6574",-48.384095696557,26.8806638834211,-1.79995910467071,0.0719747758109944
"208","a5564",28.6563974177166,26.0691935900338,1.09924372300767,0.271756344395341
"209","a2034",-28.1021006584922,14.0514868488404,-1.99993786855455,0.045603475291691
"210","pdensity",0.0245560426414973,0.0255214437641473,0.962172942425529,0.33604588096359
"211","pop",-0.0000175185832479413,0.0000773132049372743,-0.226592381756188,0.820757268807404
"212","aindian",1.75851207604957,4.6107751571314,0.381391851938326,0.702941464639209
"213","black",4.24648426211993,3.36206170448587,1.26305958526996,0.206673008134795
"214","latino",11.8677828066916,2.4331993296178,4.87743961714626,0.00000113485583805663
"215","asian",9.39567242103362,11.8588262844351,0.792293621280683,0.428256657565624
"216","sparent",56.6722156392246,17.1730637842723,3.30006435375423,0.000978747895722264
"217","mincome",-0.0052956549262196,0.00403986847705623,-1.31084834971619,0.19001658002649
"218","poverty",21.3104775332056,9.97242748587586,2.13693983369526,0.0326893693196662
"219","chci",-18.8295177201991,5.15730991400386,-3.65103475148363,0.000265969133166482
"220","lcp",-3.17355847657869,6.04857396105338,-0.524678791565278,0.599848068471906
"221","ur",-3.21121519752402,13.5718190393739,-0.236609049104456,0.812977419202578
"222","disable",3.99825557780501,10.0260014866331,0.398788648010433,0.690079373212332
"223","hi_pub",-20.3737789362321,5.95881313299339,-3.41910015996717,0.000637277419110508
"224","demv",-23.3013456432798,3.05252491392665,-7.6334661633624,0.0000000000000311406493409103
"225","commute_p",38.4106611828408,14.6834896837729,2.61590820779405,0.00894687700050235
"226","wfh",-59.3849467689257,11.2652898348488,-5.27149746162948,0.000000145623126774949
"227","computer",-40.7693457492801,6.78045583325352,-6.01277358807267,0.00000000206067697407195
"228","p_nursehome",324.825875561937,52.019801237471,6.24427367723116,0.000000000490459506635301
"229","p_liquor",601.356660079241,529.869162126978,1.1349153773458,0.256507989186261
"230","drinking",-25.3674569635077,10.9026660072449,-2.32672054217298,0.0200511945043135
"231","prematured",0.146859250017239,0.0166273032217012,8.83241545902435,0.00000000000000000177115306596412
"232","lowbirthw",63.4217342052322,20.7696697690541,3.05357451083444,0.00228261001275675
"233",NA,NA,NA,NA,NA
"234","(Intercept)",8854.82873454724,965.935863236387,9.16709801505761,0.0000000000000000000915432267901142
"235","deathp520",1.04879069110978,0.0887906021713074,11.8119560568618,0.000000000000000000000000000000186799114400604
"236","a85a",151.567684383658,39.3862983686247,3.8482337935163,0.000121632015999202
"237","a7584",180.211860065449,30.7665484213755,5.85739607827587,0.00000000525033149083002
"238","a6574",-53.3766680348629,26.0400148942786,-2.04979406699919,0.0404775557471476
"239","a5564",16.7335123085205,25.5048619651913,0.656091075158851,0.511819473897346
"240","a2034",-25.0986621790411,13.7498387825526,-1.82537865177658,0.0680504598378581
"241","pdensity",0.0251798793477134,0.0249624366298141,1.00871079699165,0.313200574201441
"242","pop",-0.0000361722573705648,0.0000756489050295128,-0.478159695192587,0.632573902616495
"243","aindian",-0.296461273852637,4.51217452618272,-0.0657025281562949,0.947619353427567
"244","black",-1.9138968121835,3.26904502677036,-0.585460523336482,0.558285317477426
"245","latino",12.7414527701513,2.38160902132706,5.34993471054776,0.0000000950969470156026
"246","asian",11.7986849295269,11.5828342699504,1.01863539221454,0.308464163497576
"247","sparent",49.1660680277526,16.814583097554,2.92401350318966,0.00348325134906796
"248","mincome",-0.00942558856159401,0.00396952999403311,-2.37448478176567,0.0176405435738172
"249","poverty",16.3256858911845,9.75886018798033,1.67290908740473,0.0944569856379495
"250","chci",-13.4914031884912,5.05952356642591,-2.6665362877283,0.00770784579503016
"251","lcp",-1.58878361423554,5.91936774581535,-0.268404276007132,0.788407934964247
"252","ur",-4.8232978108032,13.2727955956259,-0.363397279499485,0.71633558642003
"253","disable",12.9897914813071,9.80349278827066,1.32501668148812,0.18527381224211
"254","hi_pub",-19.9276134417286,5.80524972453061,-3.43268840916914,0.000606309032617155
"255","demv",-23.2628399475501,2.98320220160417,-7.79794273919511,0.00000000000000880827214503123
"256","commute_p",1.96565746423316,14.6760405547393,0.133936497170444,0.893462422192464
"257","wfh",-54.9891586427974,10.9889907920245,-5.00402263351672,0.000000596227360434542
"258","computer",-43.2691617512398,6.61461586072832,-6.54144740409393,0.0000000000721776477876973
"259","p_nursehome",290.448509009803,50.9865094386393,5.69657566692908,0.0000000134967078271456
"260","p_liquor",9.47023401618239,521.01561983514,0.0181764877206157,0.985499355588097
"261","drinking",-20.9642334682729,10.6710428523783,-1.96459088003761,0.0495604323434246
"262","prematured",0.162707558572584,0.016304782448303,9.97913091379634,0.0000000000000000000000454863337186218
"263","lowbirthw",54.6115743977116,20.1874377898399,2.70522564409818,0.00686717410396246
